File Name,Emotion
1_ssstik.io_1673709590583.mp3,Melancholic
1_brentchaissonmusic_1670812295_7176084116687932677.mp3,Emotional
1_ashishpanwar034_1571300760_6748685361418980609.mp3,Majestic
0_caspolnews_1645720028_7068313695092280581.mp3,Brooding
2_peacockle_1606109530_6898187702403894533.mp3,Happy
0_sofiiabudnyk_1656790986_7115863082680831237.mp3,Hopeful
1_eyeswideopen1984_1672566771_7183619544991157510.mp3,Energetic
1_leaveourcountryb_1671325164_7178286899302288646.mp3,Cheerful
0_rena.vizsla_1645967805_7069377889950534918.mp3,Passionate
2_prodavets_grobov_1616399648_6942383574054161669.mp3,Sad
2_thereporterasia_1614434404_6933942955480796418.mp3,Dark
2_phimhaytonghop_1601519796_6878475132659223809.mp3,Sad
0_khrystyna.barna_1656347137_7113956773299522822.mp3,Sad
2_mythuanpham7_1605871812_6897166903387688194.mp3,Serious
2_nbctiktok_1603700459_6887840990212803842.mp3,Positive
0_fundiambb1_1662863982_7141946412983405866.mp3,Dramatic
2_xkompl_1595937484_6854499284004424966.mp3,Passionate
1_mohit__14_1572321323_6753068631460039937.mp3,Brooding
1_birgitteoerregaard_1661062075_7134207209994571014.mp3,Emotional
2_gaixinhfullhd_1596079321_6855108451777907970.mp3,Powerful
1_satyajitmallick1999_1571719032_6750481824981552385.mp3,Powerful
2_bandaraofficial_1617036067_6945117008266595585.mp3,Mysterious
1_ssstik.io_1673710295516.mp3,Dramatic
1__van_dyk__1668981084_7168219152056913157.mp3,Powerful
1_reflection1356_1668218067_7164941999911570731.mp3,Joyful
2_ibra_cats_1627549083_6990270073243979013.mp3,Triumphant
1_delusionsofganja_1670285981_7173823626792258822.mp3,Dramatic
0_ris_nagarnir_1652898144_7099143465778318598.mp3,Brooding
1_deepak_jena_7438_929_1571147456_6748026923642899713.mp3,Dramatic
2_hehee30012000_1596517785_6856991610392071425.mp3,Melancholic
2_olivierhude_1601729827_6879377217156156673.mp3,Brooding
1_ssstik.io_1673709678388 (1).mp3,Emotional
1_Cópia de stainless2_1657551320_7119128692865076526.mp3,Emotional
1_rianfahardhi_1650016810_7086768229783178522.mp3,Dramatic
0_palyanitsaa_1649856711_7086080611609300229.mp3,Hopeful
0_dinovalerie__1660058921_7129898755800730886.mp3,Dramatic
2_kiky_o__1628795760_6995624518614043909.mp3,Melancholic
2_chu_van_nghiem_1627464906_6989908545722453275.mp3,Happy
1_Cópia de porknbeansperformance_1571817526_6750904817209609478.mp3,Mysterious
1_ssstik.io_1673709732944.mp3,Happy
0_avorasvok_1648826531_7081656025325096198.mp3,Emotional
0_phantom_._1_1663096873_7142946657766804742.mp3,Mysterious
0_bante_dudd_1662158909_7138918145070304555.mp3,Intense
1_eyeswideopen1984_1672812639_7184675532485709062.mp3,Serious
1_ssstik.io_1673709075129.mp3,Brooding
2_drajackielopez_1646953624_7073611946095889670.mp3,Melancholic
0_alex_d20ua_1656601670_7115049981249064197.mp3,Triumphant
0_joeycontino2_1671671149_7179772886448655658.mp3,Melancholic
1_scotttaylorcoach_1586441512_6813714399807671558.mp3,Cheerful
0_unique.planet_1651421990_7092803431152323846.mp3,Mysterious
1_illuminati_church__1647090034_7074197824799264006.mp3,Romantic
0_liquid_day_1668682858_7166938272285986053.mp3,Powerful
